1 00:00:02,410 --> 00:00:06,495 说话人 SPEAKER_00: 为本视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
2 00:00:09,157 --> 00:00:14,505 说话人 SPEAKER_00: Geoffrey Hinton 是多伦多大学名誉教授，被誉为人工智能之父。
3 00:00:16,126 --> 00:00:21,373 说话人 SPEAKER_00: 他最近离开谷歌，以便更自由地讨论不受控制的 AI 发展带来的危险。
4 00:00:23,335 --> 00:00:30,544 说话人 SPEAKER_00: 我们在他在伦敦的家中采访了他，谈论了他帮助创造的技术、其众多好处以及他为何突然担心人类面临风险。
5 00:00:35,317 --> 00:00:37,140 说话人 SPEAKER_01：我收到了华尔街日报的请求。
6 00:00:37,439 --> 00:00:39,383 说话人 SPEAKER_01：他们希望我更正我的讣告。
7 00:00:39,622 --> 00:00:40,784 说话人 SPEAKER_01：你是什么意思？
8 00:00:40,804 --> 00:00:42,307 说话人 SPEAKER_01：他们希望我更正我的讣告。
9 00:00:42,326 --> 00:00:43,387 说话人 SPEAKER_02: 他们好像预先写好了。
10 00:00:43,408 --> 00:00:46,533 说话人 SPEAKER_01: 他们好像预先写好了我的讣告。
11 00:00:46,552 --> 00:00:48,115 说话人 SPEAKER_01: 我想知道马克·吐温会对此说些什么。
12 00:00:48,134 --> 00:01:01,594 说话人 SPEAKER_02: 所以我想我们这里其实不需要介绍，我就直接，嗯，跳进去吧。
13 00:01:03,228 --> 00:01:14,662 说话人 SPEAKER_02：你最近在接受采访时表示，用于聊天机器人和其他生成式 AI 的数字智能可能比我们拥有的生物智能更好。
14 00:01:15,603 --> 00:01:18,347 说话人 SPEAKER_02：你能简要解释一下是什么让你得出这个结论吗？
15 00:01:19,608 --> 00:01:26,317 说话人 SPEAKER_01：所以，在数字计算机中，它是设计成你可以明确告诉它做什么，然后它会按照你说的去做。
16 00:01:27,280 --> 00:01:29,201 说话人 SPEAKER_01：即使它在学习东西，
17 00:01:29,435 --> 00:01:34,725 说话人 SPEAKER_01：两台不同的数字计算机可以用相同的学到的知识做完全一样的事情。
18 00:01:35,968 --> 00:01:49,957 说话人 SPEAKER_01：这意味着你可以制作 10,000 份相同的知识的副本，让它们都在不同的计算机上运行，每当一个副本学到一些东西，它都可以非常高效地将其传达给所有其他副本。
19 00:01:50,849 --> 00:02:01,313 说话人 SPEAKER_01：所以你可以有 10,000 个数字代理在外部，一种蜂群思维，它们可以通过共享神经网络中的连接强度来极其高效地共享知识。
20 00:02:01,796 --> 00:02:02,878 说话人 SPEAKER_01：而我们做不到这一点。
21 00:02:03,760 --> 00:02:08,992 说话人 SPEAKER_01：如果你学到一些东西，并且想告诉我，你必须用句子来说。
22 00:02:08,973 --> 00:02:15,219 说话人 SPEAKER_01：或者图片，那样你只能分享非常有限的信息。
23 00:02:15,760 --> 00:02:23,991 说话人 SPEAKER_01：所以，你向我传达你所学到的东西的速度，远远比不上这些数字智能传达信息的速度，这使得它们更优秀。
24 00:02:24,752 --> 00:02:26,614 说话人 SPEAKER_01：它们之间可以学到很多东西。
25 00:02:27,414 --> 00:02:33,241 说话人 SPEAKER_02：你说数字智能是永生的，而生物智能是有限的。
26 00:02:34,582 --> 00:02:35,925 说话人 SPEAKER_02：你这是什么意思？
27 00:02:36,343 --> 00:02:50,304 说话人 SPEAKER_01：所以，如果我学习到一个在数字计算机上模拟的神经网络中的连接强度，那么如果一台特定的计算机损坏了，这些相同的连接强度可以在另一台计算机上使用。
28 00:02:51,506 --> 00:03:00,359 说话人 SPEAKER_01：即使所有的数字计算机都损坏了，如果你把连接强度存储在某个地方，你就可以制作另一台数字计算机，并在那台其他数字计算机上运行相同的权重。
29 00:03:01,441 --> 00:03:02,401 说话人 SPEAKER_01：但是，在我们这里，
30 00:03:03,293 --> 00:03:08,441 我们学习到的知识，连接强度，都是我们特定大脑的。
31 00:03:08,581 --> 00:03:09,824 每个大脑都有所不同。
32 00:03:10,283 --> 00:03:12,167 你大脑中的神经元都略有不同。
33 00:03:12,929 --> 00:03:18,217 说话人 SPEAKER_01：你学习是为了利用你大脑的独特之处。
34 00:03:18,257 --> 00:03:25,048 说话人 SPEAKER_01：所以一旦你在大脑中学会了连接强度，如果你告诉我那些连接强度，它们对我没有任何好处，因为我的大脑是不同的。
35 00:03:26,412 --> 00:03:32,177 说话人 SPEAKER_01：所以数字计算机是永恒的，因为你可以将同样的知识运行在不同的硬件上。
36 00:03:32,897 --> 00:03:37,663 说话人 SPEAKER_01：我们是永恒的，因为硬件和知识是紧密相连的。
37 00:03:38,144 --> 00:03:42,388 说话人 SPEAKER_01：你不能将连接强度与它们运行的特定大脑分开。
38 00:03:43,508 --> 00:03:45,191 说话人 SPEAKER_01：所以如果大脑死亡，知识也会死亡。
39 00:03:47,772 --> 00:03:52,538 说话人 SPEAKER_00：我们为什么应该担心数字智能取代生物智能？
40 00:03:53,462 --> 00:04:06,856 说话人 SPEAKER_01：因为我认为它更适合共享大量不同数字智能体所学习的内容，这些智能体共享相同的权重，并且只共享权重的更新，现在它们可以同时学习 10,000 种不同的东西。
41 00:04:08,078 --> 00:04:12,282 说话人 SPEAKER_01：但是我认为数字智能可能拥有比人脑更好的学习算法。
42 00:04:13,223 --> 00:04:19,689 试图在脑中找到一个与反向传播算法一样有效的学习算法的所有尝试。
43 00:04:19,670 --> 00:04:21,932 在这些数字智能中。
44 00:04:22,572 --> 00:04:24,014 到目前为止，这些尝试都失败了。
45 00:04:24,656 --> 00:04:30,122 说话人 SPEAKER_01：我们还没有找到像反向传播算法那样能够很好地扩展到非常大的系统的东西。
46 00:04:30,702 --> 00:04:32,305 说话人 SPEAKER_01：所以我认为它们有两个优势。
47 00:04:32,345 --> 00:04:39,233 说话人 SPEAKER_01：它们可能有一个更好的学习算法，并且它们可以比生物智能更有效地共享知识。
48 00:04:39,252 --> 00:04:44,197 说话人 SPEAKER_02：在你进入这个领域的时候，机器智能有两个学派。
49 00:04:45,158 --> 00:04:47,382 说话人 SPEAKER_02：主流和神经网络。
50 00:04:48,610 --> 00:04:51,033 说话人 SPEAKER_02：你能描述一下这两种方法之间的区别吗？
51 00:04:51,555 --> 00:04:52,956 说话人 SPEAKER_01：我可以稍微夸张一下。
52 00:04:53,197 --> 00:04:57,303 说话人 SPEAKER_01：所以关于智能，有两种不同的模型。
53 00:04:57,944 --> 00:05:00,007 说话人 SPEAKER_01：其中一个模型就是它全部关乎推理。
54 00:05:01,250 --> 00:05:03,353 说话人 SPEAKER_01：而我们推理的方式是通过逻辑。
55 00:05:03,874 --> 00:05:05,456 说话人 SPEAKER_01：这就是人的特别之处。
56 00:05:06,798 --> 00:05:12,607 说话人 SPEAKER_01：我们应该做的是理解我们实际使用的逻辑类型。
57 00:05:13,728 --> 00:05:16,153 说话人 SPEAKER_01：这也与以下想法相符，
58 00:05:16,824 --> 00:05:29,629 说话人 SPEAKER_01：你存储的知识是符号表达式，所以我可以对你说一句话，你将 somehow 存储它，然后以后你将能够用它来推断其他句子。
59 00:05:30,028 --> 00:05:33,636 说话人 SPEAKER_01：但你的头脑里装的是类似句子但经过整理的东西。
60 00:05:34,779 --> 00:05:42,367 说话人 SPEAKER_01：还有一种完全不同的智能模型，那就是它全部关于学习大脑细胞网络中的连接强度。
61 00:05:43,309 --> 00:05:47,773 说话人 SPEAKER_01：它擅长的是像感知和运动控制这样的东西，而不是推理。
62 00:05:47,973 --> 00:05:50,795 说话人 SPEAKER_01：推理出现得晚得多，而且我们在这方面并不擅长。
63 00:05:51,836 --> 00:05:53,338 说话人 SPEAKER_01：你直到相当老了才会学习如何做这件事。
64 00:05:54,660 --> 00:05:58,163 说话人 SPEAKER_01：因此，推理实际上是一个非常糟糕的生物智能模型。
65 00:05:58,204 --> 00:06:03,588 说话人 SPEAKER_01：生物智能是关于控制你的身体和看到事物的。
66 00:06:04,497 --> 00:06:08,822 说话人 SPEAKER_01：那是一个完全不同的范式，对头脑中的事物有不同的看法。
67 00:06:09,303 --> 00:06:14,151 说话人 SPEAKER_01：那就是它不是存储符号串，只是连接串。
68 00:06:15,132 --> 00:06:23,024 说话人 SPEAKER_01：符号 AI 观点的关键问题是，这些符号表达式的形式是什么，以及如何对它们进行推理？
69 00:06:24,365 --> 00:06:27,932 说话人 SPEAKER_01：对于神经网络的观点，核心问题相当不同。
70 00:06:27,951 --> 00:06:32,158 说话人 SPEAKER_01：它是，你是如何学习这些连接字符串，以便你可以做所有这些美妙的事情？
71 00:06:32,560 --> 00:06:35,142 说话人 SPEAKER_01：因此，学习一直是神经网络观点的核心。
72 00:06:35,684 --> 00:06:38,067 说话人 SPEAKER_01：对于符号观点，他们说，我们稍后再考虑学习问题。
73 00:06:38,127 --> 00:06:41,571 说话人 SPEAKER_01：首先，你必须弄清楚知识是如何表示的，以及我们如何对它进行推理。
74 00:06:42,331 --> 00:06:44,035 说话人 SPEAKER_01：所以这些观点完全不同。
75 00:06:44,154 --> 00:06:46,778 说话人 SPEAKER_01：一个从逻辑中汲取灵感，另一个从生物学中汲取灵感。
76 00:06:47,478 --> 00:06:53,927 说话人 SPEAKER_01：长期以来，逻辑阵营的人认为从生物学中汲取灵感是愚蠢的。
77 00:06:54,194 --> 00:07:04,646 说话人 SPEAKER_01：这有点奇怪，因为冯·诺伊曼和图灵都认为神经网络是攻击智能的方法，但不幸的是他们都英年早逝。
78 00:07:07,470 --> 00:07:11,093 说话人 SPEAKER_00：你能从高层次上描述一下神经网络是如何工作的吗？
79 00:07:12,776 --> 00:07:13,357 说话人 SPEAKER_01：我可以试试。
80 00:07:14,437 --> 00:07:19,964 说话人 SPEAKER_01：那么让我们先描述一下它是如何识别物体和图像的。
81 00:07:20,113 --> 00:07:24,620 说话人 SPEAKER_01：假设我们只想判断图像中是否有鸟。
82 00:07:25,079 --> 00:07:28,444 说话人 SPEAKER_01：假设鸟大致位于图像中间的主要关注对象中。
83 00:07:29,026 --> 00:07:31,389 说话人 SPEAKER_01：你必须说，这是鸟还是不是鸟？
84 00:07:33,271 --> 00:07:34,552 说话人 SPEAKER_01：所以你可以想象一个图像。
85 00:07:34,612 --> 00:07:36,735 说话人 SPEAKER_01：假设它是 100 像素乘以 100 像素。
86 00:07:37,255 --> 00:07:38,478 说话人 SPEAKER_01：那是 10,000 像素。
87 00:07:39,119 --> 00:07:41,000 说话人 SPEAKER_01：每个像素是三种颜色，RGB。
88 00:07:41,521 --> 00:07:43,084 说话人 SPEAKER_01：所以这是 30,000 个数字。
在计算术语中，识别图像中的鸟包含提取30000个数字并输出一个表示是或否是鸟的数字。
您可以使用标准计算机程序来尝试实现这一点，人们尝试了很长时间，但始终无法使其工作得很好。
91 00：08：01,930 --> 00：08：03,411 议长 SPEAKER_01：就像 50 年来他们一直在努力做到这一点。
92 00：08：04,995 --> 00：08：07,759 演讲者 SPEAKER_01：或者你可以做一个多层神经网络。
93 00:08:08,319 --> 00:08:11,805 说话者 SPEAKER_01：我先来告诉你如何手动连接神经网络。
94 00:08:12,730 --> 00:08:20,324 所以你会有像素，这是最底层，然后你会有一层特征检测器。
95 00:08:21,165 --> 00:08:36,712 典型的特征检测器可能从一排像素中传来大的正连接强度，从相邻的一排像素中传来大的负连接强度，其他地方则没有连接强度。
96 00:08:37,402 --> 00:08:45,253 所以如果两排像素都亮，它将从这里获得大的正输入，同时也从那里获得大的负输入，因此它不会做任何事情。
97 00:08:46,053 --> 00:08:53,263 说话人 SPEAKER_01：但如果这些是明亮的，给它一个大的正输入，而那些不是明亮的，所以它不会被这些抑制，它会变得非常兴奋。
98 00:08:53,703 --> 00:08:58,110 说话人 SPEAKER_01：它会说，嘿，我找到了我喜欢的东西，这里明亮像素，这里暗像素。
99 00:08:58,933 --> 00:09:00,296 说话人 SPEAKER_01：那是一个边缘检测器。
100 00:09:00,796 --> 00:09:06,102 说话人 SPEAKER_01：我刚刚告诉了你如何通过手工使用正负权重来连接，以检测一点垂直边缘。
101 00:09:07,164 --> 00:09:14,734 说话者 SPEAKER_01：现在想象一下，有成千上万这样的家伙在不同的位置、不同的方向和不同的尺度上检测图像中的不同边缘。
102 00:09:15,796 --> 00:09:17,557 说话者 SPEAKER_01：那将是你的第一个特征检测层。
103 00:09:18,519 --> 00:09:21,582 说话者 SPEAKER_01：现在如果我要手动连接它，我的第二个特征检测层
104 00:09:22,423 --> 00:09:28,815 说话者 SPEAKER_01：我可能有一个检测器，它可以检测两个在细小角度相交的边缘，就像这样。
105 00:09:29,336 --> 00:09:31,019 说话人 SPEAKER_01：所以它在寻找这个边缘和那个边缘。
106 00:09:31,419 --> 00:09:36,087 说话人 SPEAKER_01：如果它们同时活跃，它会说，嘿，可能这里有个喙。
107 00:09:36,769 --> 00:09:39,472 说话人 SPEAKER_01：它可能是各种其他东西，但可能只是个喙。
108 00:09:39,913 --> 00:09:42,118 说话人 SPEAKER_01：所以你有一个有点像喙的特征。
109 00:09:43,581 --> 00:09:47,908 说话人 SPEAKER_01：在那个层中，你可能还有一个检测整个一圈的边缘的特征。
110 00:09:49,423 --> 00:09:56,054 说话人 SPEAKER_01：因此，你将会有圆形检测器和可能的喙检测器，以及该层中的许多其他检测器。
111 00:09:56,075 --> 00:09:58,057 说话人 SPEAKER_01：但它们检测的是稍微复杂一些的东西。
112 00:09:59,179 --> 00:10:11,799 说话人 SPEAKER_01：然后在那个层之上，你可能会有一些检测到与可能的圆形、可能的眼睛在正确空间关系中的潜在喙，这样它可能是鸟的头。
113 00:10:13,361 --> 00:10:15,144 说话人 SPEAKER_01：那么这就像是你的第三层。
114 00:10:16,306 --> 00:10:25,437 说话人 SPEAKER_01：也许在你的第三层中，你还能检测到鸟的脚和翅膀，那么在下一层可能就能有鸟的检测器。
115 00:10:25,878 --> 00:10:32,667 说话人 SPEAKER_01：如果这些事物中有几个被激活了，比如，这里有头，这里有翅膀，这里有脚，那么它可能就是一只鸟。
116 00:10:33,908 --> 00:10:39,414 说话人 SPEAKER_01：好的，所以我告诉你如何手动连接所有这些，但你永远不可能做得很好。
117 00:10:40,216 --> 00:10:44,000 说话人 SPEAKER_01：所以，我们不是手动全部连接，
118 00:10:44,317 --> 00:10:45,940 说话人 SPEAKER_01：我们可以想象尝试去学习它。
119 00:10:46,880 --> 00:10:50,785 说话人 SPEAKER_01：我已经告诉你们我们想要学习的东西，但现在我要告诉你们我们是如何学习的。
120 00:10:51,407 --> 00:10:53,308 说话人 SPEAKER_01：而我们学习的方式一开始听起来很奇怪。
121 00:10:54,551 --> 00:11:02,921 说话者 SPEAKER_01：与其将所有连接强度都连接起来以获得所需的检测器，你开始时使用随机的连接强度，所有连接上的随机数字。
122 00:11:03,902 --> 00:11:10,409 说话者 SPEAKER_01：然后你输入一张鸟的图片，然后通过这些特征检测器的层向前推进，它表现得完全随机。
123 00:11:11,335 --> 00:11:15,682 说话者 SPEAKER_01：输出端的鸟类检测器会说 0.5，它是一只鸟。
124 00:11:16,624 --> 00:11:20,951 说话者 SPEAKER_01：当它确定是鸟时，它会说 1，当它确定不是鸟时，它会说 0，对我来说，它可能会说大约 0.5。
125 00:11:21,952 --> 00:11:23,455 说话人 SPEAKER_01：现在你可以问以下问题。
