1 00:00:03,946 --> 00:00:05,368 Speaker SPEAKER_01: 嗨，大家好。
2 00:00:05,387 --> 00:00:08,711 Speaker SPEAKER_01: 真喜欢今天这里的气氛。
3 00:00:08,772 --> 00:00:21,527 Speaker SPEAKER_01: 欢迎来到火星探索区，这个美妙的大楼，参加这次非常特别的激进人工智能创始人活动，由多伦多大学联合举办。
4 00:00:21,547 --> 00:00:26,975 Speaker SPEAKER_01: 我叫梅里克·格特勒，我很荣幸能担任多伦多大学的校长。
5 00：00：27,856 --> 00：00：33,143 演讲者 SPEAKER_01：在我们开始之前，我想感谢多伦多大学所在的土地。
6 00：00：33,122 --> 00：00：39,759 演讲者 SPEAKER_01：几千年来，它一直是休伦-温达特、塞内卡和信贷的密西沙加人的传统土地。
7 00：00：40,661 --> 00：00：50,186 演讲者 SPEAKER_01：今天，这个聚会场所仍然是来自海龟岛各地的许多原住民的家园，我们非常感谢有机会在这片土地上工作和聚会。
8 00：00：51,600 --> 00：01：11,162 演讲者 SPEAKER_01： 嗯，我非常高兴地欢迎大家参加多伦多大学名誉教授 Geoffrey Hinton（被许多人称为深度学习教父）和斯坦福大学计算机科学首任红杉教授 Fei-Fei Li 之间的讨论，她是斯坦福大学以人为本的 AI 研究所的联合主任。
9 00:01:12,623 --> 00:01:20,831 主持人：我想感谢 Radical Ventures 和其他活动合作伙伴与多伦多大学合作，创造了这一罕见而特殊的机会。
10 00:01:22,516 --> 00:01:32,887 主持人：多伦多大学在学术人工智能领域处于前沿，这很大程度上归功于 Hinton 教授及其同事的开创性工作，几十年来一直如此。
11 00:01:33,787 --> 00:01:50,025 主持人：深度学习是推动人工智能繁荣的主要突破之一，其中许多关键发展都是由 Hinton 教授及其在多伦多大学的学生开创的。这种卓越的传统，这种悠久传统，一直延续至今。
12 00:01:50,325 --> 00:02:02,277 主持人：我们的教职员工、学生和毕业生，以及 Vector 研究所和世界各地的大学合作伙伴一起，正在推进机器学习并推动创新。
13 00:02:03,269 --> 00:02:13,683 说话人 SPEAKER_01：今年秋天晚些时候，我们的教职员工、学生和合作伙伴将开始搬入位于街对面的美丽新施瓦茨-赖斯曼创新校园的一期工程。
14 00:02:13,704 --> 00:02:20,935 说话人 SPEAKER_01：你可能已经注意到了角落里那座相当引人注目的建筑，官方开幕仪式计划于明年年初举行。
15 00:02:20,974 --> 00:02:29,546 说话人 SPEAKER_01：这个设施将通过创建加拿大最大的基于大学的创新中心来加速创新和发现。
16 00:02:30,860 --> 00:02:48,782 说话人 SPEAKER_01：由海瑟·赖 isman 和杰里·施瓦茨慷慨而有远见的捐赠使然，创新校园将成为人工智能思想领导力的焦点，将举办施瓦茨-赖斯曼技术与社会研究所（由 Gillian Hadfield 教授领导）和 Vector 研究所。
17 00:02:50,805 --> 00:02:58,555 说话人 SPEAKER_01：人工智能和机器学习已经在推动经济创新和价值创造方面变得显而易见。
18 00:02:59,361 --> 00:03:06,332 说话人 SPEAKER_01：它们也在改变药物发现、医学诊断和先进材料搜索等领域的科研。
19 00:03:07,936 --> 00:03:14,406 说话人 SPEAKER_01：当然，与此同时，人们对人工智能在塑造人类未来中所扮演的角色越来越担忧。
20 00:03:15,307 --> 00:03:24,002 说话人 SPEAKER_01：因此，今天的对话显然涉及了一个及时且重要的话题，我很高兴大家能在这个重要的时刻加入我们。
21 00:03:24,420 --> 00:03:28,765 主持人 SPEAKER_01：那么，无需多言，现在让我来介绍今天的主持人，乔丹·雅各布斯。
22 00:03:29,986 --> 00:03:38,276 主持人 SPEAKER_01：乔丹是 Radical Ventures 的合伙人兼联合创始人，这是一家领先的创业投资公司，支持在多伦多和世界各地基于 AI 的创业公司。
23 00:03:39,356 --> 00:03:48,926 主持人 SPEAKER_01：此前，他与 Layer6 AI 共同创立，并在 TD 银行集团收购该公司之前担任联合首席执行官。随后，他加入了 TD 银行集团，担任首席人工智能官。
24 00:03:50,002 --> 00:04:01,580 主持人 SPEAKER_01：乔丹是加拿大高级研究院的董事，也是 Vector Institute 的创始人之一，这个想法是他与汤米·普特南、杰夫·辛顿、爱德·克拉克等人共同构思的。
25 00:04:02,461 --> 00:04:05,825 主持人 SPEAKER_01：尊敬的嘉宾，请和我一起欢迎乔丹·雅各布斯。
26 00:04:16,382 --> 00:04:16,601 未知演讲者：请上来。
27 00:04:17,677 --> 00:04:18,920 主持人 SPEAKER_10：非常感谢，梅里克。
28 00:04:19,060 --> 00:04:23,129 主持人 SPEAKER_10：我想首先感谢今天能够实现这一点的许多人。
29 00:04:24,089 --> 00:04:31,685 讲者 SPEAKER_10：多伦多大学，梅里克，梅兰妮·伍德恩，艺术与科学学院院长，以及将此事付诸实践的多位合作伙伴。
30 00:04:31,764 --> 00:04:40,362 讲者 SPEAKER_10：这是我们每年在 Radical 举办的四场创始人 AI 大师班系列的第一场。
31 00:04:40,341 --> 00:04:42,163 讲者 SPEAKER_10：这是我们举办的第三届。
32 00:04:42,223 --> 00:04:44,005 讲者 SPEAKER_10：今天是今年的第一场。
33 00:04:44,045 --> 00:04:46,108 说话人 SPEAKER_10: 我们亲自在线上做这件事。
34 00:04:46,148 --> 00:04:48,670 说话人 SPEAKER_10: 所以有成千上万的人在线观看。
35 00:04:48,711 --> 00:04:52,494 说话人 SPEAKER_10: 如果你决定需要开始咳嗽，可能要去外面。
36 00:04:54,475 --> 00:04:57,119 说话人 SPEAKER_10: 我们与 Vector 研究所合作进行这项工作。
37 00:04:57,338 --> 00:05:04,846 主持人 SPEAKER_10: 非常感谢他们参与和支持阿尔伯塔省的阿尔伯塔机器智能研究所。
38 00:05:04,826 --> 00:05:08,091 主持人 SPEAKER_10: 以及斯坦福 HAI，感谢 Fei-Fei。
39 00:05:08,492 --> 00:05:11,497 主持人 SPEAKER_10: 所以感谢你们所有人，你们都是优秀的合作伙伴。
40 00:05:11,817 --> 00:05:13,920 主持人 SPEAKER_10: 我们希望这将是一场非常有趣的讨论。
41 00:05:13,939 --> 00:05:21,651 说话人 SPEAKER_10：这是我第一次和 Jeff 以及 Fei-Fei——我喜欢把他们当作朋友来对待——进行公开对话。
42 00:05:21,730 --> 00:05:23,514 说话人 SPEAKER_10：所以我认为这将是一场非常有趣的对话。
43 00:05:24,735 --> 00:05:28,641 说话人 SPEAKER_10：让我快速做一些更深入的
44 00:05:28,620 --> 00:05:30,843 说话人 SPEAKER_10：背景解释。
45 00:05:31,685 --> 00:05:34,529 说话人 SPEAKER_10: 杰夫常被称为人工智能之父。
46 00:05:34,771 --> 00:05:35,971 说话人 SPEAKER_10: 他赢得了图灵奖。
47 00:05:36,473 --> 00:05:52,418 说话人 SPEAKER_10: 他是多伦多大学的荣誉教授，向量研究所的联合创始人，也指导了许多后来成为全球人工智能领域领导者的许多人，包括在大型公司和世界顶级研究实验室的许多人。
48 00:05:52,398 --> 00:06:03,773 说话人 SPEAKER_10: 所以当我们说“之父”时，确实如此，杰夫有很多孩子和孙子辈的人正在引领世界人工智能的发展，这一切都源于多伦多。
49 00:06:05,435 --> 00:06:12,944 讲者 SPEAKER_10：Fei-Fei 是斯坦福大学人机智能研究所的创始所长，斯坦福大学教授。
50 00:06:13,466 --> 00:06:20,514 讲者 SPEAKER_10：她是美国国家工程院、美国国家医学院和美国艺术与科学学院的院士。
51 00:06:20,495 --> 00:06:28,987 讲者 SPEAKER_10：2017-18 年在斯坦福大学休假期间，她担任了谷歌副总裁，谷歌云 AIML 首席科学家。
